near-normal,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
0,d_19240501,100,100,87.7,4.1,0,0,0,0,0,0,0
0,d_19240601,100,100,91,10.8,0,0,0,0,0,0,0
0,d_19240701,100,100,96.2,35.1,0,0,0,0,0,0,0
0,d_19240801,100,100,50.9,0,0,0,0,0,0,0,0
0,d_19240901,100,96.7,0,0,0,0,0,0,0,0,0
89.4,d_19241001,10.6,0,0,0,0,0,0,0,0,0,0
100,d_19241101,0,0,0,0,0,0,0,0,0,0,0
13.6,d_19241201,86.4,24.3,0,0,0,0,0,0,0,0,0
0,d_19250101,100,99.4,74.7,9.1,0,0,0,0,0,0,0
0,d_19250201,99.9,99.9,98.9,70.7,0,0,0,0,0,0,0
0,d_19250301,100,100,63.4,11.5,0,0,0,0,0,0,0
0,d_19250401,100,100,9.8,0,0,0,0,0,0,0,0
0,d_19250501,100,100,0,0,0,0,0,0,0,0,0
0,d_19250601,100,94.7,0,0,0,0,0,0,0,0,0
0,d_19250701,100,92.7,0,0,0,0,0,0,0,0,0
2.1,d_19250801,98,55.1,0,0,0,0,0,0,0,0,0
40.9,d_19250901,59.1,0,0,0,0,0,0,0,0,0,0
100,d_19251001,0,0,0,0,0,0,0,0,0,0,0
39.3,d_19251101,0,0,0,0,0,0,60.7,0,0,0,0
31.3,d_19251201,0,0,0,0,0,0,68.7,0,0,0,0
100,d_19260101,0,0,0,0,0,0,0,0,0,0,0
100,d_19260201,0,0,0,0,0,0,0,0,0,0,0
28.6,d_19260301,71.4,2.2,0,0,0,0,0,0,0,0,0
100,d_19260401,0,0,0,0,0,0,0,0,0,0,0
100,d_19260501,0,0,0,0,0,0,0,0,0,0,0
100,d_19260601,0,0,0,0,0,0,0,0,0,0,0
100,d_19260701,0,0,0,0,0,0,0,0,0,0,0
100,d_19260801,0,0,0,0,0,0,0,0,0,0,0
100,d_19260901,0,0,0,0,0,0,0,0,0,0,0
86.3,d_19261001,0,0,0,0,0,0,13.7,0,0,0,0
0,d_19261101,0,0,0,0,0,0,100,99.2,0,0,0
0,d_19261201,0,0,0,0,0,0,100,100,89.3,7.5,0
100,d_19270101,0,0,0,0,0,0,0,0,0,0,0
9.8,d_19270201,0,0,0,0,0,0,90.2,3.4,0,0,0
52.4,d_19270301,0,0,0,0,0,0,47.6,0.8,0,0,0
73.7,d_19270401,0,0,0,0,0,0,26.3,0,0,0,0
85.9,d_19270501,0,0,0,0,0,0,14.1,0,0,0,0
79.7,d_19270601,0,0,0,0,0,0,20.3,0,0,0,0
46.6,d_19270701,0,0,0,0,0,0,53.3,0.6,0,0,0
99.9,d_19270801,0,0,0,0,0,0,0.1,0,0,0,0
99,d_19270901,0,0,0,0,0,0,1,0,0,0,0
0,d_19271001,0,0,0,0,0,0,100,71.9,0.9,0,0
99,d_19271101,0,0,0,0,0,0,1,0.1,0,0,0
65.7,d_19271201,0,0,0,0,0,0,34.3,2.1,0,0,0
52.3,d_19280101,47.7,0.8,0,0,0,0,0,0,0,0,0
80.1,d_19280201,19.9,0,0,0,0,0,0,0,0,0,0
26,d_19280301,74,3.6,0,0,0,0,0,0,0,0,0
1.4,d_19280401,98.6,18.2,0,0,0,0,0,0,0,0,0
5.3,d_19280501,94.7,8.7,0,0,0,0,0,0,0,0,0
13.4,d_19280601,86.5,6.3,0,0,0,0,0,0,0,0,0
0.9,d_19280701,99.1,78.2,0,0,0,0,0,0,0,0,0
1,d_19280801,98.9,48.5,0,0,0,0,0,0,0,0,0
0,d_19280901,100,67.2,0,0,0,0,0,0,0,0,0
95.4,d_19281001,4.6,0,0,0,0,0,0,0,0,0,0
64.2,d_19281101,35.8,6.9,0,0,0,0,0,0,0,0,0
100,d_19281201,0,0,0,0,0,0,0,0,0,0,0
100,d_19290101,0,0,0,0,0,0,0,0,0,0,0
1,d_19290201,98.9,28.9,0,0,0,0,0,0,0,0,0
1,d_19290301,99,67.2,0,0,0,0,0,0,0,0,0
3,d_19290401,97,27.1,0,0,0,0,0,0,0,0,0
1,d_19290501,99,43.7,0,0,0,0,0,0,0,0,0
1,d_19290601,99,30.3,0,0,0,0,0,0,0,0,0
4.3,d_19290701,95.7,18.7,0,0,0,0,0,0,0,0,0
8.5,d_19290801,91.5,18.3,0,0,0,0,0,0,0,0,0
4,d_19290901,96.1,17.6,0,0,0,0,0,0,0,0,0
30,d_19291001,70,15.9,0,0,0,0,0,0,0,0,0
1.8,d_19291101,98.2,53.9,0,0,0,0,0,0,0,0,0
0,d_19291201,99.9,99.9,73.9,46.8,16.4,0,0,0,0,0,0
52.6,d_19300101,47.4,30.7,12.1,2.8,0,0,0,0,0,0,0
0,d_19300201,100,57.1,21.6,11.4,1.2,0,0,0,0,0,0
